"year","yearly_average"
1980,22.1696124551971
1981,21.8188460061444
1982,23.1304339477727
1983,21.9686571940604
1984,22.079545890937
1985,22.5275249615975
1986,22.9376344086022
1987,22.2450588837686
1988,22.1270945340502
1989,22.8815188172043
1990,23.6898985535074
1991,23.3885064644137
1992,22.4188268049155
1993,22.5547571044547
1994,23.2416330645161
1995,22.5860695084485
1996,21.9732766897081
1997,22.8730734767025
1998,23.1459981438812
1999,22.5250848054275
2000,22.164220110087
2001,22.4820676523298
2002,22.8772017409114
2003,22.7515424987199
2004,22.3248687916027
2005,22.3531153993856
2006,22.4899065540195
2007,22.9230718766001
2008,22.5546210957501
2009,22.7081381208397
2010,21.1015536994368
2011,22.8106534818228
2012,22.7305155529954
2013,22.8779233870968
2014,22.5098950332821
2015,23.9563812083973
2016,23.2463373655914
