"year","month","monthly_average"
1980,1,-15.9516129032258
1980,2,-19.0714285714286
1980,3,-9.67741935483871
1980,4,8.58333333333333
1980,5,20.2096774193548
1980,6,28.5
1980,7,36.8064516129032
1980,8,37.4838709677419
1980,9,26.4166666666667
1980,10,11.3709677419355
1980,11,-1.61666666666667
1980,12,-20.3709677419355
1981,1,-27.0483870967742
1981,2,-6.21428571428571
1981,3,-3.32258064516129
1981,4,10.45
1981,5,23.4516129032258
1981,6,32.7333333333333
1981,7,37.5161290322581
1981,8,34.258064516129
1981,9,25.6666666666667
1981,10,11.6129032258065
1981,11,2.55
1981,12,-9.19354838709677
1982,1,-29.0645161290323
1982,2,-18.5892857142857
1982,3,-9.01612903225806
1982,4,4.71666666666667
1982,5,22.5161290322581
1982,6,28.0166666666667
1982,7,36.8548387096774
1982,8,31.9677419354839
1982,9,27.2666666666667
1982,10,14.6129032258065
1982,11,5.38333333333333
1982,12,-5.62903225806452
1983,1,-16.4193548387097
1983,2,-12.6607142857143
1983,3,-0.887096774193548
1983,4,8.38333333333333
1983,5,19.1290322580645
1983,6,33.1833333333333
1983,7,37.6129032258064
1983,8,35.9193548387097
1983,9,29.6
1983,10,14.7096774193548
1983,11,3.03333333333333
1983,12,-14.0322580645161
1984,1,-21.6129032258065
1984,2,-6.67857142857143
1984,3,-13
1984,4,8.01666666666667
1984,5,19.9193548387097
1984,6,31.1333333333333
1984,7,37.7741935483871
1984,8,38.7258064516129
1984,9,25.3833333333333
1984,10,16.6935483870968
1984,11,2.88333333333333
1984,12,-7.2258064516129
1985,1,-24.0645161290323
1985,2,-15.0357142857143
1985,3,-5.83870967741935
1985,4,6.93333333333333
1985,5,20.8387096774194
1985,6,28.1833333333333
1985,7,37.9032258064516
1985,8,34.3387096774194
1985,9,26.85
1985,10,15.8870967741935
1985,11,2.33333333333333
1985,12,-16.7903225806452
1986,1,-16.241935483871
1986,2,-17.7142857142857
1986,3,-5.51612903225806
1986,4,13.35
1986,5,22.7096774193548
1986,6,28.9333333333333
1986,7,34.8064516129032
1986,8,33.4354838709677
1986,9,22.9666666666667
1986,10,13.7096774193548
1986,11,-2.05
1986,12,-11
1987,1,-19.7258064516129
1987,2,-17.9464285714286
1987,3,-3.2258064516129
1987,4,13.2166666666667
1987,5,20.6774193548387
1987,6,32.6333333333333
1987,7,37.9032258064516
1987,8,33.3064516129032
1987,9,25.9833333333333
1987,10,13.8870967741935
1987,11,0.833333333333333
1987,12,-7.7741935483871
1988,1,-21.3064516129032
1988,2,-15.7857142857143
1988,3,-8.01612903225806
1988,4,8.66666666666667
1988,5,22.5806451612903
1988,6,30.8166666666667
1988,7,38.6451612903226
1988,8,39
1988,9,25.5166666666667
1988,10,11.5483870967742
1988,11,3.58333333333333
1988,12,-14.8709677419355
1989,1,-16.8387096774194
1989,2,-17.5
1989,3,-9.62903225806452
1989,4,4.41666666666667
1989,5,24.8225806451613
1989,6,32.2833333333333
1989,7,37.1129032258064
1989,8,34.4516129032258
1989,9,27.5166666666667
1989,10,14.8870967741935
1989,11,0.283333333333333
1989,12,-29.4193548387097
1990,1,-10.1451612903226
1990,2,-14.5892857142857
1990,3,-4.7258064516129
1990,4,8.75
1990,5,19.3548387096774
1990,6,31.7666666666667
