"year","month","monthly"
1980,1,3.61290322580645
1980,2,1.16964285714286
1980,3,5.83870967741935
1980,4,14.5333333333333
1980,5,18.0322580645161
1980,6,21.6416666666667
1980,7,25.8951612903226
1980,8,25.9838709677419
1980,9,23.8916666666667
1980,10,13.4838709677419
1980,11,7.39166666666667
1980,12,3.50806451612903
1981,1,0.153225806451613
1981,2,4.01785714285714
1981,3,6.42741935483871
1981,4,15.075
1981,5,16.8548387096774
1981,6,24.9416666666667
1981,7,25.0161290322581
1981,8,22.5241935483871
1981,9,19.7416666666667
1981,10,12.4354838709677
1981,11,8.85
1981,12,2.05645161290323
1982,1,-1.07258064516129
1982,2,5.3125
1982,3,7.82258064516129
1982,4,12.2666666666667
1982,5,19.8387096774194
1982,6,22.25
1982,7,24.7822580645161
1982,8,23.2016129032258
1982,9,20.0083333333333
1982,10,14.6129032258065
1982,11,10.0583333333333
1982,12,7.59677419354839
1983,1,1.89516129032258
1983,2,3.875
1983,3,9.04032258064516
1983,4,11.3583333333333
1983,5,17.7661290322581
1983,6,22.4166666666667
1983,7,25.5161290322581
1983,8,25.7016129032258
1983,9,21.0166666666667
1983,10,14.6612903225806
1983,11,8.84166666666667
1983,12,2.81451612903226
1984,1,1.24193548387097
1984,2,6.73214285714286
1984,3,6.60483870967742
1984,4,11.6
1984,5,18.1854838709677
1984,6,23.35
1984,7,23.8225806451613
1984,8,23.991935483871
1984,9,19.9833333333333
1984,10,17.9032258064516
1984,11,8.30833333333333
1984,12,7.83064516129032
1985,1,0.580645161290323
1985,2,3.875
1985,3,9.62903225806452
1985,4,16.275
1985,5,19.0806451612903
1985,6,22.7
1985,7,24.2661290322581
1985,8,23.4193548387097
1985,9,20.675
1985,10,16.3145161290323
1985,11,13.5416666666667
1985,12,3.08870967741935
1986,1,2.45161290322581
1986,2,4.92857142857143
1986,3,8.14516129032258
1986,4,15.0916666666667
1986,5,18.2258064516129
1986,6,24.2
1986,7,26.7983870967742
1986,8,23.4677419354839
1986,9,20.4833333333333
1986,10,16.2096774193548
1986,11,9.93333333333333
1986,12,4.64516129032258
1987,1,1.4758064516129
1987,2,3.09821428571429
1987,3,7.68548387096774
1987,4,11.8166666666667
1987,5,19.2096774193548
1987,6,23.7416666666667
1987,7,26.3629032258065
1987,8,25.508064516129
1987,9,21.5583333333333
1987,10,11.1048387096774
1987,11,10.1166666666667
1987,12,5.70161290322581
1988,1,-0.75
1988,2,3.625
1988,3,7.68548387096774
1988,4,13.0583333333333
1988,5,16.9193548387097
1988,6,21.8416666666667
1988,7,24.7258064516129
1988,8,25.9758064516129
1988,9,19.5916666666667
1988,10,11.4435483870968
1988,11,8.75
1988,12,3.85483870967742
1989,1,5.15322580645161
1989,2,4.50892857142857
1989,3,7.95161290322581
1989,4,12.8916666666667
1989,5,16.6370967741935
1989,6,24.3
1989,7,25.0161290322581
1989,8,23.5645161290323
1989,9,21.1
1989,10,14.8709677419355
1989,11,9.71666666666667
1989,12,-0.758064516129032
1990,1,6.93548387096774
1990,2,8.23214285714286
1990,3,10.7661290322581
1990,4,13.7166666666667
1990,5,18.1935483870968
1990,6,22.3833333333333
1990,7,25.9677419354839
1990,8,24.6774193548387
1990,9,20.775
1990,10,16.1854838709677
1990,11,10.8916666666667
1990,12,7.18548387096774
1991,1,4.13709677419355
1991,2,6.46428571428571
1991,3,9.96774193548387
1991,4,14.1916666666667
1991,5,20.8225806451613
1991,6,23.5416666666667
1991,7,26.6854838709677
1991,8,24.241935483871
1991,9,21.3166666666667
1991,10,14.7661290322581
1991,11,8.13333333333333
1991,12,6.88709677419355
1992,1,4.63709677419355
1992,2,5.83928571428571
1992,3,7.92741935483871
1992,4,13.6833333333333
1992,5,15.7822580645161
1992,6,20.4916666666667
1992,7,25.6370967741935
1992,8,22.7338709677419
1992,9,20.8333333333333
1992,10,12.8870967741935
1992,11,9.81666666666667
1992,12,3.35483870967742
1993,1,4.12903225806452
1993,2,2.9375
1993,3,5.99193548387097
1993,4,12.3166666666667
1993,5,19.4274193548387
1993,6,22.825
1993,7,27.0322580645161
1993,8,24.7822580645161
1993,9,22.2583333333333
1993,10,13.4596774193548
1993,11,8.65
1993,12,3.26612903225806
1994,1,-0.00806451612903226
1994,2,4.16071428571429
1994,3,8.59677419354839
1994,4,14.8916666666667
1994,5,16.5806451612903
1994,6,23.8083333333333
1994,7,25.8548387096774
1994,8,23.491935483871
1994,9,19.6166666666667
1994,10,13.1935483870968
1994,11,11.075
1994,12,6.81451612903226
1995,1,3.98387096774194
1995,2,2.74107142857143
1995,3,9.81451612903226
1995,4,13.5666666666667
1995,5,18.3629032258065
1995,6,22.2166666666667
1995,7,25.4354838709677
1995,8,25.5564516129032
1995,9,20.275
1995,10,15.4838709677419
1995,11,6.65833333333333
1995,12,2.40322580645161
1996,1,2.20161290322581
1996,2,3.07142857142857
1996,3,6.08870967741935
1996,4,12.7666666666667
1996,5,18.8548387096774
1996,6,22.85
1996,7,24.7983870967742
1996,8,23.5403225806452
1996,9,20.65
1996,10,14.4677419354839
1996,11,7.11666666666667
1996,12,4.54032258064516
1997,1,3.21774193548387
1997,2,5.75892857142857
1997,3,10.4435483870968
