"year","yearly_average"
1980,13.7485679083461
1981,13.1744943676395
1982,13.8898409498208
1983,13.7419578853047
1984,14.129537890425
1985,14.4538082437276
1986,14.5483710957501
1987,13.9483278929852
1988,13.0601254480287
1989,13.7460621479775
1990,15.4925083205325
1991,15.0963069636457
1992,13.6353302611367
1993,13.9230174731183
1994,14.0063812083973
1995,13.8748383896569
1996,13.4122247823861
1997,13.4962189580133
1998,15.0072804659498
1999,14.2433179723502
2000,13.5317844342038
2001,13.8584181387609
2002,14.2725502432156
2003,13.470650921659
2004,14.0180763568868
2005,14.3376840117768
2006,14.6793826804916
2007,15.0030897977471
2008,14.2177627368152
2009,14.0863655273938
2010,14.5450748847926
2011,15.0360551075269
2012,15.2105334741423
2013,13.9033378136201
2014,13.6655177931388
2015,14.8824452764977
2016,15.3318948412698
