"X.1","species","month","day","year","box","X","pollen","total","propn","occurrence"
1,"Archilochus colubris",4,20,2016,1,148,63,390,0.161538461538462,1
2,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
3,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
4,"Archilochus colubris",4,17,2016,2,321,43,176,0.244318181818182,1
5,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
6,"Archilochus colubris",4,20,2016,1,148,63,390,0.161538461538462,1
7,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
8,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
9,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
10,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
11,"Archilochus colubris",4,20,2016,1,148,63,390,0.161538461538462,1
12,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
13,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
14,"Archilochus colubris",4,17,2016,2,321,43,176,0.244318181818182,1
15,"Archilochus colubris",4,21,2016,1,148,63,390,0.161538461538462,1
16,"Archilochus colubris",4,21,2016,1,148,63,390,0.161538461538462,1
17,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
18,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
19,"Archilochus colubris",4,21,2016,1,148,63,390,0.161538461538462,1
20,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
21,"Archilochus colubris",4,17,2016,2,321,43,176,0.244318181818182,1
22,"Archilochus colubris",4,22,2016,1,148,63,390,0.161538461538462,1
23,"Archilochus colubris",4,22,2016,1,148,63,390,0.161538461538462,1
24,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
25,"Archilochus colubris",4,22,2016,1,148,63,390,0.161538461538462,1
26,"Archilochus colubris",4,22,2016,1,148,63,390,0.161538461538462,1
27,"Archilochus colubris",4,21,2016,1,148,63,390,0.161538461538462,1
28,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
29,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
30,"Archilochus colubris",4,22,2016,1,148,63,390,0.161538461538462,1
31,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
32,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
33,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
34,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
35,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
36,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
37,"Archilochus colubris",4,22,2016,1,148,63,390,0.161538461538462,1
38,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
39,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
40,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
41,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
42,"Archilochus colubris",4,22,2016,1,148,63,390,0.161538461538462,1
43,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
44,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
45,"Archilochus colubris",4,22,2016,1,148,63,390,0.161538461538462,1
46,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
47,"Archilochus colubris",4,22,2016,1,148,63,390,0.161538461538462,1
48,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
49,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
50,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
51,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
52,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
53,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
54,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
55,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
56,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
57,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
58,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
59,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
60,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
61,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
62,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
63,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
64,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
65,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
66,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
67,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
68,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
69,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
70,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
71,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
72,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
73,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
74,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
75,"Archilochus colubris",3,10,2016,2,320,45,176,0.255681818181818,1
76,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
77,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
78,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
79,"Archilochus colubris",4,13,2016,1,148,63,390,0.161538461538462,1
80,"Archilochus colubris",4,21,2016,2,321,43,176,0.244318181818182,1
81,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
82,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
83,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
84,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
85,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
86,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
87,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
88,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
89,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
90,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
91,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
92,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
93,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
94,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
95,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
96,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
97,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
98,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
99,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
100,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
101,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
102,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
103,"Archilochus colubris",4,20,2016,2,321,43,176,0.244318181818182,1
104,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
105,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
106,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
107,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
108,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
109,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
110,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
111,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
112,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
113,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
114,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
115,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
116,"Archilochus colubris",4,1,2016,1,148,63,390,0.161538461538462,1
117,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
118,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
119,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
120,"Archilochus colubris",4,10,2016,1,148,63,390,0.161538461538462,1
121,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
122,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
123,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
124,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
125,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
126,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
127,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
128,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
129,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
130,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
131,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
132,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
133,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
134,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
135,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
136,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
137,"Archilochus colubris",4,21,2016,1,148,63,390,0.161538461538462,1
138,"Archilochus colubris",4,23,2016,1,148,63,390,0.161538461538462,1
139,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
140,"Archilochus colubris",4,22,2016,2,321,43,176,0.244318181818182,1
141,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
142,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
143,"Archilochus colubris",4,26,2016,3,494,25,337,0.0741839762611276,1
144,"Archilochus colubris",4,26,2016,3,494,25,337,0.0741839762611276,1
145,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
146,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
147,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
148,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
149,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
150,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
151,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
152,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
153,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
154,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
155,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
156,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
157,"Archilochus colubris",4,24,2016,1,148,63,390,0.161538461538462,1
158,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
159,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
160,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
161,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
162,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
163,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
164,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
165,"Archilochus colubris",4,25,2016,1,148,63,390,0.161538461538462,1
166,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
167,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
168,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
169,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
170,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
171,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
172,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
173,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
174,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
175,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
176,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
177,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
178,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
179,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
180,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
181,"Archilochus colubris",4,23,2016,2,321,43,176,0.244318181818182,1
182,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
183,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
184,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
185,"Archilochus colubris",4,24,2016,2,321,43,176,0.244318181818182,1
186,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
187,"Archilochus colubris",4,19,2016,2,321,43,176,0.244318181818182,1
188,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
189,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
190,"Archilochus colubris",4,26,2016,3,494,25,337,0.0741839762611276,1
191,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
192,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
193,"Archilochus colubris",4,25,2016,2,321,43,176,0.244318181818182,1
194,"Archilochus colubris",4,27,2016,2,321,43,176,0.244318181818182,1
195,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
196,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
197,"Archilochus colubris",4,19,2016,1,148,63,390,0.161538461538462,1
198,"Archilochus colubris",4,19,2016,1,148,63,390,0.161538461538462,1
199,"Archilochus colubris",4,27,2016,2,321,43,176,0.244318181818182,1
200,"Archilochus colubris",4,27,2016,2,321,43,176,0.244318181818182,1
201,"Archilochus colubris",4,27,2016,2,321,43,176,0.244318181818182,1
202,"Archilochus colubris",4,27,2016,2,321,43,176,0.244318181818182,1
203,"Archilochus colubris",4,27,2016,2,321,43,176,0.244318181818182,1
204,"Archilochus colubris",4,27,2016,2,321,43,176,0.244318181818182,1
205,"Archilochus colubris",4,27,2016,2,321,43,176,0.244318181818182,1
206,"Archilochus colubris",4,27,2016,1,148,63,390,0.161538461538462,1
207,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
208,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
209,"Archilochus colubris",4,26,2016,1,148,63,390,0.161538461538462,1
210,"Archilochus colubris",4,26,2016,2,321,43,176,0.244318181818182,1
