month,year,pollen,box
1,2004,29,1
2,2004,55,1
3,2004,86,1
4,2004,48,1
5,2004,24,1
6,2004,18,1
7,2004,18,1
8,2004,8,1
9,2004,12,1
10,2004,12,1
11,2004,16,1
12,2004,7,1
1,2005,13,1
2,2005,7,1
3,2005,25,1
4,2005,44,1
5,2005,22,1
6,2005,14,1
7,2005,5,1
8,2005,10,1
9,2005,23,1
10,2005,12,1
11,2005,12,1
12,2005,9,1
1,2006,13,1
2,2006,24,1
3,2006,37,1
4,2006,23,1
5,2006,16,1
6,2006,11,1
7,2006,15,1
8,2006,5,1
9,2006,6,1
10,2006,20,1
11,2006,10,1
12,2006,6,1
1,2007,12,1
2,2007,25,1
3,2007,53,1
4,2007,25,1
5,2007,16,1
6,2007,11,1
7,2007,14,1
8,2007,10,1
9,2007,15,1
10,2007,17,1
11,2007,11,1
12,2007,14,1
1,2008,14,1
2,2008,20,1
3,2008,29,1
4,2008,26,1
5,2008,18,1
6,2008,10,1
7,2008,14,1
8,2008,8,1
9,2008,11,1
10,2008,17,1
11,2008,11,1
12,2008,8,1
1,2009,17,1
2,2009,23,1
3,2009,52,1
4,2009,37,1
5,2009,21,1
6,2009,17,1
7,2009,16,1
8,2009,19,1
9,2009,15,1
10,2009,13,1
11,2009,10,1
12,2009,13,1
1,2010,13,1
2,2010,22,1
3,2010,41,1
4,2010,82,1
5,2010,28,1
6,2010,21,1
7,2010,12,1
8,2010,14,1
9,2010,23,1
10,2010,18,1
11,2010,21,1
12,2010,11,1
1,2011,25,1
2,2011,45,1
3,2011,76,1
4,2011,43,1
5,2011,26,1
6,2011,15,1
7,2011,13,1
8,2011,16,1
9,2011,18,1
10,2011,21,1
11,2011,19,1
12,2011,13,1
1,2012,19,1
2,2012,44,1
3,2012,76,1
4,2012,48,1
5,2012,24,1
6,2012,23,1
7,2012,17,1
8,2012,19,1
9,2012,26,1
10,2012,26,1
11,2012,24,1
12,2012,20,1
1,2013,41,1
2,2013,46,1
3,2013,53,1
4,2013,50,1
5,2013,31,1
6,2013,24,1
7,2013,28,1
8,2013,24,1
9,2013,26,1
10,2013,30,1
11,2013,23,1
12,2013,19,1
1,2014,22,1
2,2014,46,1
3,2014,92,1
4,2014,65,1
5,2014,38,1
6,2014,23,1
7,2014,21,1
8,2014,20,1
9,2014,20,1
10,2014,25,1
11,2014,18,1
12,2014,22,1
1,2015,30,1
2,2015,41,1
3,2015,92,1
4,2015,53,1
5,2015,40,1
6,2015,26,1
7,2015,21,1
8,2015,19,1
9,2015,22,1
10,2015,27,1
11,2015,24,1
12,2015,17,1
1,2016,18,1
2,2016,40,1
3,2016,94,1
4,2016,63,1
5,2016,32,1
6,2016,20,1
7,2016,17,1
8,2016,16,1
9,2016,21,1
10,2016,24,1
11,2016,24,1
12,2016,21,1
1,2017,30,1
2,2017,48,1
3,2017,83,1
4,2017,57,1
5,2017,29,1
6,2017,16,1
7,2017,18,1
8,2017,20,1
9,2017,19,1
10,2017,27,1
11,2017,21,1
12,2017,20,1
1,2018,23,1
2,2018,72,1
3,2018,100,1
4,2018,60,1
5,2018,80,1
1,2004,0,2
2,2004,0,2
3,2004,5,2
4,2004,45,2
5,2004,4,2
6,2004,11,2
7,2004,8,2
8,2004,10,2
9,2004,6,2
10,2004,10,2
11,2004,3,2
12,2004,0,2
1,2005,3,2
2,2005,5,2
3,2005,10,2
4,2005,29,2
5,2005,5,2
6,2005,8,2
7,2005,2,2
8,2005,4,2
9,2005,12,2
10,2005,9,2
11,2005,2,2
12,2005,4,2
1,2006,0,2
2,2006,3,2
3,2006,7,2
4,2006,30,2
5,2006,15,2
6,2006,9,2
7,2006,4,2
8,2006,8,2
9,2006,4,2
10,2006,5,2
11,2006,1,2
12,2006,4,2
1,2007,1,2
2,2007,2,2
3,2007,28,2
4,2007,26,2
5,2007,3,2
6,2007,4,2
7,2007,5,2
8,2007,3,2
9,2007,6,2
10,2007,5,2
11,2007,4,2
12,2007,4,2
1,2008,5,2
2,2008,3,2
3,2008,12,2
4,2008,29,2
5,2008,20,2
6,2008,7,2
7,2008,5,2
8,2008,4,2
9,2008,7,2
10,2008,9,2
11,2008,3,2
12,2008,3,2
1,2009,2,2
2,2009,7,2
3,2009,15,2
4,2009,34,2
5,2009,17,2
6,2009,10,2
