"box","month","year","pollen","bird"
1,1,2004,29,30
1,2,2004,55,10
1,3,2004,86,13
1,4,2004,48,8
1,5,2004,24,4
1,6,2004,18,4
1,7,2004,18,4
1,8,2004,8,9
1,9,2004,12,18
1,10,2004,12,24
1,11,2004,16,6
1,12,2004,7,2
1,1,2005,13,17
1,2,2005,7,21
1,3,2005,25,17
1,4,2005,44,32
1,5,2005,22,9
1,6,2005,14,5
1,7,2005,5,9
1,8,2005,10,14
1,9,2005,23,17
1,10,2005,12,21
1,11,2005,12,19
1,12,2005,9,16
1,1,2006,13,20
1,2,2006,24,12
1,3,2006,37,22
1,4,2006,23,22
1,5,2006,16,3
1,6,2006,11,2
1,7,2006,15,13
1,8,2006,5,4
1,9,2006,6,16
1,10,2006,20,32
1,11,2006,10,11
1,12,2006,6,9
1,1,2007,12,10
1,2,2007,25,12
1,3,2007,53,23
1,4,2007,25,15
1,5,2007,16,7
1,6,2007,11,3
1,7,2007,14,7
1,8,2007,10,2
1,9,2007,15,11
1,10,2007,17,20
1,11,2007,11,15
1,12,2007,14,14
1,1,2008,14,16
1,2,2008,20,20
1,3,2008,29,19
1,4,2008,26,19
1,5,2008,18,11
1,6,2008,10,19
1,7,2008,14,18
1,8,2008,8,7
1,9,2008,11,17
1,10,2008,17,50
1,11,2008,11,37
1,12,2008,8,31
1,1,2009,17,21
1,2,2009,23,9
1,3,2009,52,17
1,4,2009,37,39
1,5,2009,21,19
1,6,2009,17,14
1,7,2009,16,15
1,8,2009,19,17
1,9,2009,15,24
1,10,2009,13,59
1,11,2009,10,30
1,12,2009,13,12
1,1,2010,13,45
1,2,2010,22,77
1,3,2010,41,101
1,4,2010,82,47
1,5,2010,28,12
1,6,2010,21,27
1,7,2010,12,41
1,8,2010,14,45
1,9,2010,23,109
1,10,2010,18,122
1,11,2010,21,86
1,12,2010,11,102
1,1,2011,25,102
1,2,2011,45,84
1,3,2011,76,93
1,4,2011,43,104
1,5,2011,26,40
1,6,2011,15,41
1,7,2011,13,73
1,8,2011,16,60
1,9,2011,18,64
1,10,2011,21,93
1,11,2011,19,76
