box,month,year,pollen,bird,temp
1,1,2004,29,30,15.47580645
1,2,2004,55,10,17.71428571
1,3,2004,86,13,19
1,4,2004,48,8,19.98333333
1,5,2004,24,4,24.38709677
1,6,2004,18,4,27.61666667
1,7,2004,18,4,27.33870968
1,8,2004,8,9,27.39516129
1,9,2004,12,18,27.025
1,10,2004,12,24,24.5
1,11,2004,16,6,21.08333333
1,12,2004,7,2,16.37903226
1,1,2005,13,17,16.65322581
1,2,2005,7,21,17.04464286
1,3,2005,25,17,18.54032258
1,4,2005,44,32,20.01666667
1,5,2005,22,9,23.98387097
1,6,2005,14,5,26.40833333
1,7,2005,5,9,28.39516129
1,8,2005,10,14,28.46774194
1,9,2005,23,17,27.2
1,10,2005,12,21,24.4516129
1,11,2005,12,19,21.1
1,12,2005,9,16,15.97580645
1,1,2006,13,20,17.19354839
1,2,2006,24,12,16.14285714
1,3,2006,37,22,18.86290323
1,4,2006,23,22,22.65
1,5,2006,16,3,24.14516129
1,6,2006,11,2,26.90833333
1,7,2006,15,13,27.24193548
1,8,2006,5,4,27.74193548
1,9,2006,6,16,26.7
1,10,2006,20,32,23.33870968
1,11,2006,10,11,18.80833333
1,12,2006,6,9,20.14516129
1,1,2007,12,10,18.59677419
1,2,2007,25,12,15.33035714
1,3,2007,53,23,19.99193548
1,4,2007,25,15,21.10833333
1,5,2007,16,7,23.98387097
1,6,2007,11,3,26.275
1,7,2007,14,7,27.78225806
1,8,2007,10,2,28.47580645
1,9,2007,15,11,27.275
1,10,2007,17,20,26.28225806
1,11,2007,11,15,19.98333333
1,12,2007,14,14,19.99193548
1,1,2008,14,16,16.7016129
1,2,2008,20,20,20.17857143
1,3,2008,29,19,18.77419355
1,4,2008,26,19,21.61666667
1,5,2008,18,11,24.76612903
1,6,2008,10,19,27.125
1,7,2008,14,18,27.19354839
1,8,2008,8,7,27.49193548
1,9,2008,11,17,27.38333333
1,10,2008,17,50,23.86290323
1,11,2008,11,37,17.40833333
1,12,2008,8,31,18.15322581
1,1,2009,17,21,15.64516129
1,2,2009,23,9,15.30357143
1,3,2009,52,17,19.33870968
1,4,2009,37,39,21.65833333
1,5,2009,21,19,25.41935484
1,6,2009,17,14,27.375
1,7,2009,16,15,27.86290323
1,8,2009,19,17,28.5
