"","species","month","day","year","box","pollen","occurrence"
"1","Archilochus colubris",4,20,2016,1,13.715191418305,FALSE
"2","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"3","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"4","Archilochus colubris",4,17,2016,2,93.0919288424775,TRUE
"5","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"6","Archilochus colubris",4,20,2016,1,13.715191418305,FALSE
"7","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"8","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"9","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"10","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"11","Archilochus colubris",4,20,2016,1,13.715191418305,FALSE
"12","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"13","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"14","Archilochus colubris",4,17,2016,2,93.0919288424775,TRUE
"15","Archilochus colubris",4,21,2016,1,13.715191418305,FALSE
"16","Archilochus colubris",4,21,2016,1,13.715191418305,FALSE
"17","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"18","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"19","Archilochus colubris",4,21,2016,1,13.715191418305,FALSE
"20","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"21","Archilochus colubris",4,17,2016,2,93.0919288424775,TRUE
"22","Archilochus colubris",4,22,2016,1,13.715191418305,FALSE
"23","Archilochus colubris",4,22,2016,1,13.715191418305,FALSE
"24","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"25","Archilochus colubris",4,22,2016,1,13.715191418305,FALSE
"26","Archilochus colubris",4,22,2016,1,13.715191418305,FALSE
"27","Archilochus colubris",4,21,2016,1,13.715191418305,FALSE
"28","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"29","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"30","Archilochus colubris",4,22,2016,1,13.715191418305,FALSE
"31","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"32","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"33","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"34","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"35","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"36","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"37","Archilochus colubris",4,22,2016,1,13.715191418305,FALSE
"38","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"39","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"40","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"41","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"42","Archilochus colubris",4,22,2016,1,13.715191418305,FALSE
"43","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"44","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"45","Archilochus colubris",4,22,2016,1,13.715191418305,FALSE
"46","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"47","Archilochus colubris",4,22,2016,1,13.715191418305,FALSE
"48","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"49","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"50","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"51","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"52","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"53","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"54","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"55","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"56","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"57","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"58","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"59","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"60","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"61","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"62","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"63","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"64","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"65","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"66","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"67","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"68","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"69","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"70","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"71","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"72","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"73","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"74","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"75","Archilochus colubris",3,10,2016,2,60.5386885348707,FALSE
"76","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"77","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"78","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"79","Archilochus colubris",4,13,2016,1,13.715191418305,FALSE
"80","Archilochus colubris",4,21,2016,2,93.0919288424775,TRUE
"81","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"82","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"83","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"84","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"85","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"86","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"87","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"88","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"89","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"90","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"91","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"92","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"93","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"94","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"95","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"96","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"97","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"98","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"99","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"100","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"101","Archilochus colubris",4,23,2016,1,13.715191418305,FALSE
"102","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"103","Archilochus colubris",4,20,2016,2,93.0919288424775,TRUE
"104","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"105","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"106","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"107","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"108","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"109","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"110","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"111","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"112","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"113","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"114","Archilochus colubris",4,22,2016,2,93.0919288424775,TRUE
"115","Archilochus colubris",4,25,2016,1,13.715191418305,FALSE
"116","Archilochus colubris",4,1,2016,1,13.715191418305,FALSE
"117","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"118","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"119","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"120","Archilochus colubris",4,10,2016,1,13.715191418305,FALSE
"121","Archilochus colubris",4,24,2016,1,13.715191418305,FALSE
"122","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"123","Archilochus colubris",4,23,2016,2,93.0919288424775,TRUE
"124","Archilochus colubris",4,24,2016,2,93.0919288424775,TRUE
"125","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"126","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"127","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"128","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"129","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"130","Archilochus colubris",4,25,2016,2,93.0919288424775,TRUE
"131","Archilochus colubris",4,25,2016,1,13.715191418305,FALSE
"132","Archilochus colubris",4,25,2016,1,13.715191418305,FALSE
